Building Number,ADDRESS,Block #,Red Tags,TAG_COLOR,Building Use,Building Area (sqft),Year Built,Age (years),Value ($),Permit Issued Date,Permit Finaled Date,Time Interval (days),Time Interval (months),INITIAL_DAMAGE_DESCRIPTION,Chimney,Foundation,Damage State,Latitude,Longitude,PH_ENGLISH,PH_NO18UNDER,PASIAN,PHISLAT,PAFRICAN,INCOME,PHU_OWNED,PHIGHSCH_DIPLOMA,,
1054,611 1ST ST,Central,0,Yellow,Residential,1175,1890,126,"$526,400",NaN,NaN,NaN,NaN,Chimney/ front steps,0,0,2,38.301049,-122.281198,93.02325581,61.04651163,0.173611111,64.58333333,0,13466,15.11627907,58.11518325,,
1055,718 WATER ST,Central,1,Red,Commercial,unclear,NaN,NaN,NaN,10/2/14,3/27/15,175,5.8,raised foundation unstable due to shifting,0,1,4,38.300426,-122.281986,93.02325581,61.04651163,0.173611111,64.58333333,0,13466,15.11627907,58.11518325,,
1056,975 1ST ST,Central,1,Red,Commercial,800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Unsafe building (Bounty Hunter),0,0,4,38.299247,-122.285074,93.02325581,61.04651163,0.173611111,64.58333333,0,13466,15.11627907,58.11518325,,
1057,942 MAIN ST,Central,0,Yellow,Commercial,4050,NaN,NaN,NaN,11/5/14,expired on 5/6/15,NaN,NaN,Storefront glazing damage and cornice damage,0,0,2,38.299161,-122.285206,93.02325581,61.04651163,0.173611111,64.58333333,0,13466,15.11627907,58.11518325,,
1058,901 MAIN ST,Central,0,Yellow,Commercial,4500,NaN,NaN,NaN,remodel 9/25/14,4/30/15,NaN,NaN,(Wells Fargo Bank) structural damage southside - URM structural,0,0,2,38.298521,-122.285351,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1059,1025 1ST ST,Central,1,Red,Commercial,3600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,(Don Pericos),0,0,4,38.298919,-122.285739,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1060,1127 1ST ST,Central,0,Yellow,Commercial,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"(Napa County Building) sprinkler system leakage, damage to three floors",0,0,2,38.29857,-122.286113,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1061,1141 1ST ST,Central,1,Red,Commercial,6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No comments,0,0,4,38.2984,-122.286508,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1062,1147 1ST ST,Central,1,Red,Commercial,6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,(Napa Cigars),0,0,4,38.298446,-122.286692,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1063,937 COOMBS ST,Central,0,Yellow,Commercial,6000,NaN,NaN,NaN,replace plaster 10/20/14; repair brick façade 4/16/15,plaster finaled on 4/21/15; façade expired on 10/13/15,plaster 183 days; façade NaN,plaster 6.1 months; façade NaN,No comments,0,0,1,38.298239,-122.286942,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1064,931 COOMBS ST,Central,0,Yellow,Residential,6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"No Entry from Coombs, parking lot entry only (Le Melange)",0,0,2,38.298082,-122.28692,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1065,933 COOMBS ST,Central,0,Yellow,Commercial,6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Le Melange,0,0,2,38.298167,-122.287045,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1066,1201 1ST ST,Central,0,Yellow,Commercial,6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Playful Gardner,0,0,2,38.298271,-122.287075,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1067,1219 1ST ST,Central,1,Red,Commercial,3000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,severe damage,0,0,4,38.298138,-122.287162,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1068,1227 1ST ST,Central,0,Yellow,Commercial,7000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,falling plaster on ceiling,0,0,2,38.298032,-122.287357,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1069,1245 1ST ST,Central,0,Yellow,Commercial,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Rear brick wall buckled at parapet, shear cracks in rear wall",0,0,2,38.298206,-122.28748,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1070,1301 1ST ST,Central,0,Yellow,Commercial,3600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cracks in wall & overhanging canopy,0,0,2,38.297801,-122.287799,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1071,1310 2ND ST,Central,0,Yellow,Commercial,1800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"lower broken glass, wall cracks throughout building/do not use entrance at corner of Second and Randolph",0,0,2,38.297376,-122.287548,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1072,1400 2ND ST,Central,0,Yellow,Commercial,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cracking at retrofit line at 2nd story,0,0,2,38.29691,-122.288444,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1073,1408 2ND ST,Central,0,Yellow,Commercial,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cracking at retrofit line at 2nd story,0,0,2,38.296968,-122.2884,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1074,1412 2ND ST,Central,0,Yellow,Commercial,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,structural damage,0,0,2,38.296889,-122.288466,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1075,1416 2ND ST,Central,0,Yellow,Commercial,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cracking at retrofit line at 2nd story,0,0,2,38.296864,-122.288514,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1076,952 SCHOOL ST,Central,0,Yellow,Commercial,33750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,(Napa Square - vacant suite & Hollman Teague),0,0,2,38.296955,-122.288975,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1077,1401 1ST ST,Central,1,Red,Commercial,9600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Outdoor Dining Area only (Norman Rose),0,0,4,38.297329,-122.288814,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1078,1425 1ST ST,Central,1,Red,Commercial,9600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Outdoor only - Oenotri,0,0,4,38.297229,-122.288908,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1079,1700 2ND ST,Central,0,Yellow,Commercial,22500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,revised red to yellow with restrictions - no business - clean up and repair only - fallling hazard under soffits,0,0,2,38.29662,-122.291764,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1080,1607 1ST ST,Central,0,Yellow,Commercial,3076,1903,113,"$899,999",NaN,NaN,NaN,NaN,loose & broken plaster falling - remove plaster to release yellow tag,0,0,2,38.297016,-122.291339,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1081,1635 1ST ST,Central,1,Red,Commercial,2400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,leaning north about 3-inches on foundation (Laser & Vein Center),0,1,4,38.297057,-122.291837,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1082,1645 1ST ST,Central,1,Red,Residential,1904,1905,111,"$730,400",NaN,NaN,NaN,NaN,"chimney collapse, damaged gas lines",1,0,3,38.297003,-122.291991,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1083,1755 1ST ST,Central,1,Red,Commercial,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,chimney collapse - detached beam at entry rear,1,0,3,38.29721,-122.293246,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1084,1824 2ND ST,South,0,Yellow,Residential,1400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Damaged chimney- moderate damage,1,0,2,38.296841,-122.294089,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1085,1835 1ST ST,South,0,Yellow,Commercial,2200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Minor foundation damage s/w corner of building. Damaged column at front porch,0,1,3,38.297293,-122.294184,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1086,1906 2ND ST,South,0,Yellow,Residential,1193,1916,100,"$541,800",NaN,NaN,NaN,NaN,Two damaged fireplaces,0,0,2,38.296789,-122.294727,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1087,1929 1ST ST,South,0,Yellow,Residential,2913,1868,148,"$1,198,500",NaN,NaN,NaN,NaN,cracked foundation,0,1,3,38.297321,-122.294996,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1088,2041 1ST ST,South,0,Yellow,Residential,2376,1937,79,"$581,800",NaN,NaN,NaN,NaN,Roof and chimney damage.,1,0,2,38.297496,-122.295933,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1089,2109 1ST ST,South,0,Yellow,Residential,1608,1895,121,"$641,500",NaN,NaN,NaN,NaN,Chimney collapsed,0,0,2,38.297467,-122.296111,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1090,2125 1ST ST,South,1,Red,Residential,984,1945,71,"$498,600",NaN,NaN,NaN,NaN,racking/structure leaning slightly,0,0,3,38.297532,-122.296476,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1091,926 SEYMOUR ST,South,0,Yellow,Residential,1104,1949,67,"$519,900",11/18/14,expired on 8/1/15,NaN,NaN,Chimney damage,0,0,2,38.297364,-122.296935,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1092,2140 2ND ST,South,0,Yellow,Residential,1066,1940,76,"$498,300",NaN,NaN,NaN,NaN,Restricted use,0,0,2,38.297128,-122.297014,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1093,2225 1ST ST ,South,0,Yellow,Residential,2071,1896,120,"$576,800",NaN,NaN,NaN,NaN,"ok to occupy/contact PGE on gas meter issue, minor foundation crack",0,1,3,38.297613,-122.297621,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1094,2237 1ST ST,South,0,Yellow,Residential,1334,1951,65,"$466,600",NaN,NaN,NaN,NaN,"front porch/garage leaning slightly, front wall collapsed",0,0,3,38.297633,-122.297788,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1095,2247 1ST ST,South,1,Red,Residential,2377,NaN,NaN,"$562,600",NaN,NaN,NaN,NaN,"crumple walls damaged, structure shifted from foundations",0,1,4,38.297639,-122.297977,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1096,2307 1ST ST,South,1,Red,Residential,760,1910,106,"$390,000",NaN,NaN,NaN,NaN,house racked - it has been braced from side,0,0,4,38.297749,-122.298818,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1097,2330 2ND ST,South,0,Yellow,Residential,1200,NaN,NaN,"$761,040",NaN,NaN,NaN,NaN,"rear of house shifted on foundation 3"" - base walls rocked - structural engineer to review damage",0,1,2,38.297416,-122.29915,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1098,2347 1ST ST,South,0,Yellow,Residential,1188,1925,91,"$460,500",NaN,NaN,NaN,NaN,chimney collapsed onto roof,1,0,2,38.297823,-122.299552,83.83084577,65.92039801,0,42.81217209,0.314795383,21492,35.07462687,63.14102564,,
1099,1040 3RD ST,Central,1,Red,Commercial,1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,imminent danger from adjacent structure ,0,0,4,38.297775,-122.284702,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1100,1030 3RD ST,Central,1,Red,Commercial,1500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,chimney damage (Windermere)/ parking area not accessible,1,0,4,38.297827,-122.284638,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1101,807 MAIN ST,Central,0,Yellow,Commercial,1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,adjacent building (Velo Pizzeria),0,0,2,38.297883,-122.284698,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1102,813 MAIN ST,Central,1,Red,Commercial,4200,NaN,NaN,NaN,7/27/15,9/29/15,62,2.1,adjacent building (Fagianis & The Bar),0,0,4,38.297945,-122.284748,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1103,815 MAIN ST,Central,0,Yellow,Commercial,1500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,for construction only - do not open for business prior to inspection by City of Napa,0,0,2,38.298002,-122.284789,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1104,823 MAIN ST,Central,0,Yellow,Commercial,1680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,adjacent building (Henry's),0,0,2,38.298064,-122.284841,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1105,825 MAIN ST,Central,0,Yellow,Commercial,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Asia Cafe - broken glass,0,0,1,38.298129,-122.284658,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1106,810 BROWN ST,Central,1,Red,Commercial,5000,NaN,NaN,NaN,demolition 10/14/14,expired on 7/21/15,NaN,NaN,Unretrofitted URM building. Out-of-plane failure.,0,0,4,38.29777,-122.284962,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1107,814 BROWN ST,Central,1,Red,Commercial,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Unsafe building - severe damage,0,0,4,38.297772,-122.285083,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1108,816 BROWN ST,Central,1,Red,Commercial,1350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Unretrofitted URM building. Out-of-plane failure.,0,0,4,38.297828,-122.285029,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1109,822 BROWN ST,Central,1,Red,Commercial,1400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Unsafe building - severe damage (one building on two properties),0,0,4,38.297922,-122.285013,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1110,830 BROWN ST,Central,1,Red,Commercial,3200,NaN,NaN,NaN,11/10/14,12/3/14,23,0.8,Adjacent to unsafe building (Wells Fargo Mrtg/Alexandria Sq),0,0,4,38.298121,-122.284997,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1111,1001 2ND ST,Central,1,Red,Commercial,3500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Unsafe building (Alexandria Square),0,0,4,38.298188,-122.285072,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1112,825 BROWN ST,Central,1,Red,Commercial,26100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,East side unsafe (Old Cthouse),0,0,4,38.297639,-122.285709,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1113,801 COOMBS ST,Central,0,Yellow,Commercial,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Falling plaster,0,0,2,38.297096,-122.28601,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1114,810 RANDOLPH ST,Central,0,Yellow,Commercial,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Loose debris,0,0,1,38.296871,-122.286672,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1115,819 RANDOLPH ST,Central,0,Yellow,Commercial,4000,NaN,NaN,NaN,10/14/14,4/21/15,187,6.2,partial collapse of masonry wall,0,0,2,38.296804,-122.287167,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1116,1350 3RD ST,Central,0,Yellow,Commercial,7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"delamination of facade, marquee pulling away from wall/entry restricted for clean up and repair only",0,0,2,38.296527,-122.287509,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1117,1351 2ND ST,Central,1,Red,Commercial,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,interior & facade; unsafe building (Post Office),0,0,2,38.29696,-122.287529,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1118,817 FRANKLIN ST,Central,0,Yellow,Residential,2120,1910,106,"$1,975,300",NaN,NaN,NaN,NaN,post at porch and second story addition compromised - temp fix in place - post at front porch all shifted,0,0,2,38.296368,-122.287995,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1119,832 SCHOOL ST,Central,0,Yellow,Commercial,1600,NaN,NaN,NaN,10/15/14,6/5/15,230,7.7,remove chimney to stabalize or remove back porch/do not use back porch,1,0,2,38.296375,-122.288492,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1120,1406 3RD ST,Central,1,Red,Residential,8993,1910,106,"$1,605,200",NaN,NaN,NaN,NaN,racking damage moderate to severe/Falling debris (Franklin Apts - 18 units & 1 comm),0,0,4,38.296231,-122.287885,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1121,1412 3RD ST,Central,1,Red,Residential,7200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,racking damage moderate to severe (Franklin Apts - 18 units & 1 comm),0,0,4,38.296225,-122.287934,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1122,1414 3RD ST,Central,1,Red,Residential,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,racking damage moderate to severe (Franklin Apts - 18 units & 1 comm),0,0,4,38.296075,-122.287882,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1123,835 CHURCH ST,Central,0,Yellow,Residential,1074,1939,77,"$567,200",9/2/14,expired on 3/23/15,NaN,NaN,No comments,0,0,1,38.295709,-122.289881,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1124,1562 3RD ST,Central,0,Yellow,Residential,2500,NaN,NaN,"$126,200",NaN,NaN,NaN,NaN,porch separated/do not use front entry as porch,0,0,2,38.29555,-122.290147,87.53709199,91.09792285,0,36.10223642,1.118210863,24717,13.94658754,81.66666667,,
1125,643 3RD ST,East,0,Yellow,Residential,2000,NaN,NaN,"$785,600",NaN,NaN,NaN,NaN,"one chimney fell over, loose bricks have been removed, other chimney appears intact, use caution around chimneys",1,0,2,38.29865,-122.279888,98.36363636,72.36363636,6.92431562,20.69243156,1.368760064,40202,61.27272727,93.05103149,,
1126,720 BURNELL ST,East,0,Yellow,Residential,983,1939,77,"$518,600",NaN,NaN,NaN,NaN,chimney crack,1,0,1,38.298398,-122.279792,98.36363636,72.36363636,6.92431562,20.69243156,1.368760064,40202,61.27272727,93.05103149,,
1127,141 SILVERADO TRL,East,0,Yellow,Residential,900,1928,88,"$366,100",NaN,NaN,NaN,NaN,deterioration due to age,0,0,1,38.289341,-122.275177,98.36363636,72.36363636,6.92431562,20.69243156,1.368760064,40202,61.27272727,93.05103149,,
1128,1125 3RD ST,Central,0,Yellow,Commercial,42000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Partially Fire Sprinklered, basement only, visable damage in court tunnel",0,0,2,38.296731,-122.284305,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1129,540 MAIN ST,Central,0,Yellow,Commercial,4500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rear terra cotta wall shear. Rear corner brick pillar sheared,0,0,2,38.295994,-122.282619,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1130,530 MAIN ST,Central,0,Yellow,Commercial,4500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Loose silo chute pipe above silos roof. Chute pipe hanging from rusted holes in pipe,0,0,2,38.296224,-122.28266,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1131,500 MAIN ST,Central,0,Yellow,Commercial,20000,NaN,NaN,NaN,9/16/14,expired on 3/15/15,NaN,NaN,Side entry doorway lintel damage at brick bearing - NE corner - keep people clear,0,0,2,38.296417,-122.282698,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1132,565 BROWN ST,Central,0,Yellow,Residential,942,NaN,NaN,"$452,500",NaN,NaN,NaN,NaN,Column @ front porch is racked,0,0,2,38.295032,-122.283305,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1133,529 BROWN ST,Central,0,Yellow,Residential,3966,1935,81,"$64,600",9/4/14,1/14/15,130,4.3,Building movement expects portion of foundation & off foundation,0,1,3,38.294234,-122.283744,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1134,519 BROWN ST,Central,0,Yellow,Residential,2298,1920,96,"$636,400",NaN,NaN,NaN,NaN,Further inspection warranted. Upstairs unit chimney collapsed & repairs made w/o benefit of permit. Further inspection permit needed,1,0,2,38.293898,-122.283764,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1135,522 COOMBS ST,Central,0,Yellow,Residential,2206,1901,115,"$698,100",2/27/15,9/16/15,199,6.6,Front porch appears racked-Part of railing damaged,0,0,2,38.293953,-122.284451,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1136,516 COOMBS ST,Central,1,Red,Residential,1600,NaN,NaN,NaN,11/10/14,3/18/15,128,4.3,"[ATC states 500-518; no 518 in records] front wall leaning, anchor bolts leaning, rear deck stairs leaning - construction entry through front",0,0,4,38.293804,-122.28468,92.10526316,89.47368421,6.206896552,35.03448276,6.482758621,17536,20.39473684,53.04518664,,
1137,430 COOMBS ST,Central,0,Yellow,Residential,1599,1910,106,"$571,800",10/23/14,7/31/15,277,9.2,foundation inside of building cracked - further inspection needed,0,1,3,38.292418,-122.285011,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1138,414 COOMBS ST,Central,0,Yellow,Residential,1376,1900,116,"$619,900",4/2/15,11/24/15,232,7.7,fire place falling needs rebuild - contractor needs to inspect foundation,0,1,2,38.292228,-122.285128,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1139,404 COOMBS ST,Central,0,Yellow,Residential,1800,NaN,NaN,"$690,500",replace foundation 4/26/16; demolition 4/28/16; remodel 6/7/16; reroof 6/30/16,foundation expired on 12/26/16; demolition expired on 10/25/16; remodel expired on 1/4/17; reroof expired on 12/27/16,NaN,NaN,Damaged Chimney,0,0,2,38.292093,-122.285116,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1140,411 BROWN ST,Central,0,Yellow,Residential,1200,NaN,NaN,"$471,900",NaN,NaN,NaN,NaN,damaged chimney is back portion of bldg,1,0,2,38.292055,-122.284423,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1141,480 BROWN ST,Central,1,Red,Residential,1044,1900,116,"$527,300",1/2/15,expired on 9/17/2016,NaN,NaN,foundation leaning at stem wall,0,1,4,38.292811,-122.283557,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1142,458 BROWN ST,Central,0,Yellow,Residential,1200,1900,116,"$556,900",NaN,NaN,NaN,NaN,Porch separation from main structure plaster in front room fell. Ok to use porch need permit to repair porch & plaster,0,0,2,38.292491,-122.283581,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1143,432 BROWN ST,Central,0,Yellow,Residential,3824,1888,128,"$891,600",NaN,NaN,NaN,NaN,"Bldg foundation framing is ""racked"" at both front corners",0,1,3,38.292099,-122.283435,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1144,417 CROSS ST,Central,0,Yellow,Residential,772,1900,116,"$420,600",3/17/15,4/15/15,28,0.9,Collapsed chimney - Correct under pining/shore/slope/post and beams,1,0,2,38.291828,-122.283221,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1145,413 RIVERSIDE DR,Central,0,Yellow,Residential,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,stairs - do not use except in emergency - have engineer inspect prior to usage,0,0,2,38.291577,-122.282247,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1146,411 RIVERSIDE DR,Central,0,Yellow,Residential,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"stairway taped off yellow tag, second story green tag",0,0,2,38.291538,-122.28227,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1147,1141 LAUREL ST,Central,0,Yellow,Residential,1181,1935,81,"$543,100",9/9/14,expired on 3/8/15,NaN,NaN,Damaged chimney @ rear of building,1,0,2,38.291642,-122.285036,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1148,380 BROWN ST,Central,0,Yellow,Residential,1854,1900,116,"$612,500",replace foundation 3/2/15; garage remodel 6/2/15,foundation finaled on 6/24/15; garage remodel expired on 1/18/16,foundation 114 days; garage remodel NaN,foundation 3.8 months; garage remodel NaN,"garage walls and foundation backing, occupancy based on exterior inspection from front only/garage damage extensive-do not enter garage",0,1,3,38.291327,-122.284043,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1149,356 BROWN ST,Central,1,Red,Residential,900,NaN,NaN,"$579,500",7/7/15,12/11/15,154,5.1,"garage severe racking, crack slab, ground movement - cotage severe racking at cripple wall, post supports severely compromised",0,0,4,38.290956,-122.284057,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1150,385 RIVERSIDE DR,Central,0,Yellow,Residential,1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cracked base of carport roof support. Cracks around doors and windows.,0,0,2,38.291088,-122.282855,89.5,63.33333333,0,41.88204109,0,26513,31.5,67.29435084,,
1151,294 COOMBS ST,Central,0,Yellow,Residential,1275,1875,141,"$548,300",NaN,NaN,NaN,NaN,cracked foundation,0,1,3,38.290308,-122.285841,85.68281938,72.02643172,0.888099467,33.21492007,2.131438721,26622,23.78854626,71.2545676,,
1152,251 GASSER DR,East,0,Yellow,Commercial,4800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,collapse of hanging lights,0,0,2,38.283641,-122.279014,98.36363636,72.36363636,6.92431562,20.69243156,1.368760064,40202,61.27272727,93.05103149,,
